stcd,upper,lower,upper_term,lower_term,double
AZ,30,60,2,2,1
AL,35,105,4,4,0
AK,20,40,4,2,0
AR,35,100,4,2,0
CA,40,80,4,2,0
CT,36,151,2,2,0
CO,35,65,4,2,0
DE,21,41,4,2,0
FL,40,120,4,2,0
GA,56,180,2,2,0
HI,25,51,4,2,0
ID,35,70,2,2,1
IL,59,118,4,2,0
IN,50,100,4,2,0
IA,50,100,4,2,0
KS,40,125,4,2,0
KY,38,100,4,2,0
LA,39,105,4,4,0
ME,35,151,2,2,0
MD,47,141,4,4,1
MA,40,160,2,2,0
MI,38,110,4,2,0
MN,67,134,4,2,0
MS,52,122,4,4,0
MO,34,163,4,2,0
MT,50,100,4,2,0
NJ,40,80,4,2,1
NH,24,400,2,2,0
NY,63,150,2,2,0
NM,42,70,4,2,0
ND,47,94,4,4,1
NC,50,120,2,2,0
NE,0,49,0,4,0
NV,21,42,4,2,0
OH,33,99,4,2,0
OK,48,101,4,2,0
OR,30,60,4,2,0
PA,50,203,4,2,0
RI,38,75,2,2,0
SC,46,124,4,2,0
SD,35,70,2,2,1
TN,33,99,4,2,0
TX,31,150,4,2,0
UT,29,75,4,4,0
VT,30,150,2,2,1
VA,40,100,4,2,0
WA,49,98,4,2,1
WV,34,100,4,2,1
WI,33,99,4,2,0
WY,30,60,4,2,0